US,BATCH,LON,LAT,TIME,V,C,X,Y
51401351378657,9470,122.16149170000001,30.9375417,2018/01/01 01:11:22,3.34,29.58,13598955.048697727,3624640.3974045655
51401351378657,9470,122.16556840000001,30.945301699999998,2018/01/01 01:16:25,3.0,16.42,13599408.86486578,3625647.5629371586
51401351378657,9470,122.1708767,30.965275,2018/01/01 01:29:29,2.8,5.41,13599999.782118674,3628240.2612674367
51401351378657,9470,122.17174650000001,30.976008399999998,2018/01/01 01:37:04,2.55,358.98,13600096.607811753,3629633.768728104
51401351378657,9470,122.1684074,30.990357399999997,2018/01/01 01:48:13,2.37,345.48,13599724.9009001,3631496.931021127
51401351380109,1452,121.47004,31.0833467,2018/01/01 02:22:01,0.04,-1.0,13521982.997556295,3643578.0354784974
51401351380109,1452,121.4675467,31.0844767,2018/01/01 02:49:03,0.51,287.15,13521705.44466994,3643724.916899282
51401351380109,1452,121.4634268,31.094963300000003,2018/01/01 02:55:33,3.32,327.66,13521246.819499886,3645088.085799608
51401351380109,1452,121.4632666,31.118090600000002,2018/01/01 03:09:03,3.62,5.76,13521228.986117465,3648094.970313565
51401351380109,1452,121.4642764,31.120504600000004,2018/01/01 03:10:34,3.16,21.46,13521341.39653925,3648408.8675544364
51401351380109,1452,121.4620282,31.133336600000003,2018/01/01 03:18:32,3.24,337.95,13521091.128060086,3650077.572191276
51401351380109,1452,121.454885,31.141218100000003,2018/01/01 03:23:33,4.02,326.59,13520295.950673563,3651102.613615642
51401351380109,1452,121.45303340000001,31.1472728,2018/01/01 03:26:36,4.0,355.31,13520089.831504434,3651890.125431435
51401351380109,1452,121.4636199,31.1593984,2018/01/01 03:34:34,3.46,25.19,13521268.315293554,3653467.4073775774
51401351380109,1452,121.4651902,31.164657899999998,2018/01/01 03:37:26,3.7,3.82,13521443.120289922,3654151.618910017
51401351380109,1452,121.4601,31.1776619,2018/01/01 03:44:38,3.55,350.11,13520876.481817964,3655843.4802129962
51401351380109,1452,121.4617996,31.1840216,2018/01/01 03:48:04,3.45,35.24,13521065.680424495,3656670.981785074
51401351380109,1452,121.47073970000001,31.1895516,2018/01/01 03:53:33,2.81,64.27,13522060.887803994,3657390.5709273964
51401351380109,1452,121.4844942,31.1931105,2018/01/01 04:00:33,3.63,74.06,13523592.031739898,3657853.693669385
51401351380109,1452,121.49601000000001,31.200212699999998,2018/01/01 04:07:03,3.77,43.07,13524873.964731796,3658777.961176115
51401351380109,1452,121.5051341,31.2139919,2018/01/01 04:15:02,3.71,15.3,13525889.654897602,3660571.3593551004
51401351380109,1452,121.5058405,31.2189268,2018/01/01 04:17:33,3.75,358.62,13525968.29098589,3661213.712788
51401351380109,1452,121.50442959999998,31.222742800000002,2018/01/01 04:19:32,4.06,331.66,13525811.230316348,3661710.4470990426
51401351380109,1452,121.49007179999998,31.236677899999997,2018/01/01 04:28:30,3.92,317.34,13524212.92733166,3663524.5698444014
51401351380109,1452,121.48902290000001,31.2421994,2018/01/01 04:31:33,3.64,20.04,13524096.164317785,3664243.453107797
51401351380109,1452,121.49355829999999,31.24543,2018/01/01 04:34:32,3.36,63.55,13524601.042736258,3664664.0873326836
51401351380109,1452,121.4994422,31.2473012,2018/01/01 04:37:36,3.27,76.08,13525256.035488045,3664907.7300064894
51401351380109,1452,121.52184440000002,31.248402799999997,2018/01/01 04:47:32,3.6,85.86,13527749.836984346,3665051.1679042038
51401351380109,1452,121.5320673,31.2511678,2018/01/01 04:52:04,3.7,57.27,13528887.845006615,3665411.2023156113
51401351380109,1452,121.54123229999999,31.256083399999998,2018/01/01 04:56:35,3.77,55.76,13529908.088139595,3666051.295314124
51401351380109,1452,121.5561631,31.267112599999997,2018/01/01 05:04:34,3.92,46.1,13531570.177192502,3667487.6021749927
51401351380109,1452,121.5628463,31.274415899999997,2018/01/01 05:09:02,3.8,32.62,13532314.147613268,3668438.786206168
51401351380109,1452,121.56538259999999,31.282034600000003,2018/01/01 05:13:03,3.36,5.43,13532596.48723773,3669431.126516223
51401351380109,1452,121.5652075,31.286949100000005,2018/01/01 05:15:33,3.76,347.18,13532576.995194893,3670071.2856684113
51401351380109,1452,121.5586239,31.303516,2018/01/01 05:24:04,3.87,347.63,13531844.112195404,3672229.5237578233
51401351380109,1452,121.55894099999999,31.321422700000003,2018/01/01 05:33:02,4.5,355.4,13531879.411605936,3674562.7298962083
51401351380109,1452,121.55524820000001,31.3328403,2018/01/01 05:39:03,3.63,330.22,13531468.330990387,3676050.651329943
51401351380109,1452,121.54918959999999,31.338745,2018/01/01 05:43:05,3.83,304.26,13530793.890723562,3676820.212201322
51401351380109,1452,121.52435179999999,31.3474245,2018/01/01 05:54:36,3.69,295.78,13528028.959475525,3677951.501052081
51401351380109,1452,121.5110218,31.353652,2018/01/01 06:01:05,3.83,303.06,13526545.070663456,3678763.259746894
51401351380109,1452,121.50257479999999,31.359699600000003,2018/01/01 06:05:35,3.95,321.67,13525604.754924854,3679551.619811798
51401351380109,1452,121.4992801,31.365248100000002,2018/01/01 06:08:32,3.86,344.69,13525237.99059859,3680274.9622275517
